"Freq [GHz]","dB(S(1,1)) []"
5.2,-5.72467174084004
5.21,-5.79510345967823
5.22,-5.86852807858933
5.23,-5.9451141878064
5.24,-6.02503171019635
5.25,-6.10845012752547
5.26,-6.19553635358719
5.27,-6.28645222138676
5.28,-6.38135155498762
5.29,-6.48037680224977
5.3,-6.58365521297484
5.31,-6.69129455836413
5.32,-6.80337840260905
5.33,-6.91996095621568
5.34,-7.04106156354742
5.35,-7.16665890410205
5.36,-7.29668501803309
5.37,-7.43101930086287
5.38,-7.56948264929726
5.39,-7.71183197812472
5.4,-7.85775536537191
5.41,-8.00686811655296
5.42,-8.15871006565461
5.43,-8.3127444464367
5.44,-8.46835866811475
5.45,-8.62486730962719
5.46,-8.78151760166801
5.47,-8.93749759143709
5.48,-9.09194707920012
5.49,-9.24397127850788
5.5,-9.39265698731527
5.51,-9.53709087392265
5.52,-9.67637929332592
5.53,-9.80966887444593
5.54,-9.93616697803756
5.55,-10.0551610403318
5.56,-10.1660358067816
5.57,-10.2682875346267
5.58,-10.3615344029593
5.59,-10.4455226032151
5.6,-10.5201278689008
5.61,-10.5853525100861
5.62,-10.6413183116617
5.63,-10.6882559029718
5.64,-10.7264913861129
5.65,-10.7564311078755
5.66,-10.778545474875
5.67,-10.7933526524353
5.68,-10.8014028723924
5.69,-10.8032639240741
5.7,-10.7995082372055
5.71,-10.7907018034374
5.72,-10.7773950380973
5.73,-10.7601155639516
5.74,-10.7393628078434
5.75,-10.7156042387866
5.76,-10.6892730395693
5.77,-10.6607669887495
5.78,-10.6304483311678
5.79,-10.598644427951
5.8,-10.5656489971828
5.81,-10.5317237805259
5.82,-10.4971004964489
5.83,-10.4619829654728
5.84,-10.4265493158063
5.85,-10.3909541981883
5.86,-10.3553309564074
5.87,-10.3197937147945
5.88,-10.2844393561404
5.89,-10.249349373224
5.9,-10.2145915847599
5.91,-10.1802217123979
5.92,-10.146284819734
5.93,-10.1128166174044
5.94,-10.0798446404757
5.95,-10.0473893057204
5.96,-10.0154648571603
5.97,-9.98408020861274
5.98,-9.95323969200125
5.99,-9.92294371998873
6,-9.89318937112922
6.01,-9.86397090526937
6.02,-9.83528021640606
6.03,-9.80710722965357
6.04,-9.77944024841444
6.05,-9.75226625730109
6.06,-9.72557118582866
6.07,-9.69934013740334
6.08,-9.67355758766651
6.09,-9.64820755582731
6.1,-9.62327375222359
6.11,-9.59873970499462
6.12,-9.57458886842518
6.13,-9.55080471522979
6.14,-9.52737081478404
6.15,-9.50427089907618
6.16,-9.48148891794349
6.17,-9.45900908497168
6.18,-9.43681591527123
6.19,-9.41489425619767
6.2,-9.39322931195341
6.21,-9.37180666289433
6.22,-9.35061228026307
6.23,-9.32963253698163
6.24,-9.30885421505743
6.25,-9.28826451008761
6.26,-9.26785103328533
6.27,-9.24760181139843
6.28,-9.22750528484332
6.29,-9.20755030433603
6.3,-9.18772612626551
6.31,-9.16802240702278
6.32,-9.14842919647132
6.33,-9.12893693071948
6.34,-9.10953642433447
6.35,-9.09021886211829
6.36,-9.0709757905498
6.37,-9.05179910898236
6.38,-9.03268106067416
6.39,-9.01361422371705
6.4,-8.99459150192021
6.41,-8.97560611569652
6.42,-8.95665159299212
6.43,-8.93772176029333
6.44,-8.91881073373941
6.45,-8.89991291036491
6.46,-8.88102295949117
6.47,-8.86213581428258
6.48,-8.84324666348059
6.49,-8.82435094332514
6.5,-8.80544432967136
6.51,-8.78652273030678
6.52,-8.7675822774732
6.53,-8.74861932059528
6.54,-8.72963041921703
6.55,-8.71061233614613
6.56,-8.69156203080513
6.57,-8.6724766527878
6.58,-8.65335353561822
6.59,-8.63419019070991
6.6,-8.61498430152134
6.61,-8.59573371790438
6.62,-8.57643645064168
6.63,-8.55709066616865
6.64,-8.53769468147583
6.65,-8.51824695918707
6.66,-8.49874610280893
6.67,-8.47919085214681
6.68,-8.459580078883
6.69,-8.43991278231207
6.7,-8.42018808522909
6.71,-8.40040522996595
6.72,-8.38056357457123
6.73,-8.36066258912945
6.74,-8.34070185221488
6.75,-8.32068104747606
6.76,-8.30059996034644
6.77,-8.28045847487725
6.78,-8.26025657068853
6.79,-8.23999432003435
6.8,-8.21967188497838
6.81,-8.19928951467625
6.82,-8.17884754276084
6.83,-8.15834638482713
6.84,-8.13778653601317
6.85,-8.11716856867379
6.86,-8.09649313014387
6.87,-8.075760940588
6.88,-8.05497279093345
6.89,-8.0341295408836
6.9,-8.01323211700884
6.91,-7.99228151091221
6.92,-7.97127877746706
6.93,-7.95022503312408
6.94,-7.92912145428521
6.95,-7.90796927574187
6.96,-7.88676978917515
6.97,-7.86552434171556
6.98,-7.84423433456018
6.99,-7.82290122164485
7,-7.80152650836934
