Frequency,"dB(S(1:1,1:1))","S(1:1,1:1)"
2.0,-0.2661359834705792,(-0.882562087733195-0.40204966989722j)
2.01666666666667,-0.2687809611141466,(-0.8917082434568905-0.38058314585132014j)
2.03333333333333,-0.2715347566171455,(-0.9003304908409945-0.3588819958612719j)
2.05,-0.27439918286789566,(-0.9084219660596656-0.3369590954875783j)
2.06666666666667,-0.2773760768563167,(-0.9159761209721698-0.3148275411963362j)
2.08333333333333,-0.2804673008914045,(-0.9229867305142698-0.29250064268223364j)
2.1,-0.2836747438315635,(-0.929447899900375-0.26999191495198266j)
2.11666666666667,-0.28700032232515166,(-0.9353540716297454-0.24731507017386584j)
2.13333333333333,-0.2904459820585447,(-0.9407000322904332-0.22448400929875337j)
2.15,-0.2940136990088271,(-0.9454809191547802-0.20151281345843064j)
2.1666666666666696,-0.2977054806981671,(-0.949692226560572-0.1784157351471001j)
2.18333333333333,-0.30152336744678465,(-0.9533298120722806-0.1552071891916243j)
2.2,-0.3054694336212987,(-0.9563899024169653-0.13190174351644343j)
2.21666666666667,-0.30954578887514933,(-0.9588690991896556-0.10851410970909593j)
2.23333333333333,-0.31375457937766166,(-0.9607643843232994-0.08505913339191602j)
2.25,-0.31809798902825215,(-0.9620731253184882-0.06155178440577925j)
2.26666666666667,-0.3225782406520694,(-0.9627930802283757-0.038007146811766354j)
2.28333333333333,-0.32719759717340485,(-0.962922402394385-0.014440408716143755j)
2.3,-0.33195836276299495,(-0.9624596449284025+0.009133148075600747j)
2.31666666666667,-0.33686288395525615,(-0.9614037649372995+0.03269815857001963j)
2.3333333333333304,-0.3419135507315043,(-0.959754127485707+0.05623918525706301j)
2.35,-0.3471127975649345,(-0.957510509293047+0.07974072893605662j)
2.36666666666667,-0.3524631044232501,(-0.954673102160875+0.10318723969089622j)
2.38333333333333,-0.35796699772459584,(-0.9512425161266038+0.12656312800951122j)
2.4,-0.3636270512425004,(-0.9472197823396786+0.149852776042373j)
2.4166666666666696,-0.369445886955335,(-0.9426063556562864+0.17304054899488464j)
2.43333333333333,-0.3754261758358519,(-0.9374041169485683+0.19611080664893912j)
2.45,-0.38157063857622625,(-0.9316153751242814+0.2190479150086023j)
2.46666666666667,-0.3878820462439953,(-0.9252428688527778+0.24183625806494144j)
2.48333333333333,-0.3943632208642759,(-0.9182897679929747+0.26446024967538295j)
2.5,-0.40101703592353377,(-0.9107596747189156+0.28690434555264765j)
2.51666666666667,-0.4078464167902073,(-0.9026566243383872+0.30915305535828125j)
2.53333333333333,-0.41485434104741936,(-0.8939850857997711+0.33119095489612294j)
2.55,-0.42204383873307155,(-0.8847499618822012+0.3530026984006276j)
2.56666666666667,-0.429417992482449,(-0.874956589063935+0.3745730309148403j)
2.5833333333333304,-0.43697993756864073,(-0.8646107370634594+0.39588680075308336j)
2.6,-0.4447328618360312,(-0.8537186080477607+0.41692897204285484j)
2.61666666666667,-0.45268000552198645,(-0.8422868355019747+0.43768463734027574j)
2.63333333333333,-0.4608246609621988,(-0.8303224827542147+0.45813903031349257j)
2.65,-0.4691701721748772,(-0.8178330411492934+0.47827753848784627j)
2.6666666666666696,-0.477719934319192,(-0.8048264278648276+0.49808571604629165j)
2.68333333333333,-0.4864773930234224,(-0.7913109833628017+0.5175492966785082j)
2.7,-0.4954460435783284,(-0.7772954684696052+0.5366542064714159j)
2.71666666666667,-0.5046294299912412,(-0.762789061077388+0.5553865768333603j)
2.73333333333333,-0.5140311438966951,(-0.7478013524591527+0.5737327574440468j)
2.75,-0.5236548233193107,(-0.7323423431900588+0.5916793292214407j)
2.76666666666667,-0.5335041512848214,(-0.7164224386672835+0.609213117296277j)
2.78333333333333,-0.5435828542754142,(-0.7000524442204312+0.6263212039844931j)
2.8,-0.5538947005255157,(-0.6832435598046612+0.6429909417469006j)
2.81666666666667,-0.5644434981543814,(-0.6660073742686746+0.6592099661247404j)
2.8333333333333304,-0.5752330931321132,(-0.6483558591894732+0.6749662086392555j)
2.85,-0.5862673670758657,(-0.6303013622661109+0.6902479096423583j)
2.86666666666667,-0.5975502348731171,(-0.6118566002648194+0.7050436311046465j)
2.88333333333333,-0.6090856421293201,(-0.5930346515077803+0.719342269326424j)
2.9,-0.6208775624373405,(-0.5738489478983552+0.7331330675562189j)
2.9166666666666696,-0.6329299944663515,(-0.5543132664759088+0.7464056285004157j)
2.93333333333333,-0.6452469588682329,(-0.5344417204934836+0.759149926706903j)
2.95,-0.657832494999792,(-0.5142487500123284+0.7713563208044503j)
2.96666666666667,-0.6706906574592646,(-0.49374911200786686+0.783015565578621j)
2.98333333333333,-0.6838255124361925,(-0.4729578699820313+0.7941188238642388j)
3.0,-0.6972411338739409,(-0.4518903830778987+0.8046576782332853j)
3.01666666666667,-0.7109415994443355,(-0.43056229469344925+0.8146241424561785j)
3.03333333333333,-0.7249309863347054,(-0.4089895205918066+0.8240106727136328j)
